datenum,year,month,day,datetime,data_mean_global,data_mean_nh,data_mean_sh
409977,1122,6,24,24-Jun-1122 00:00:00,284.362335205078,285.087738037109,283.636932373047
410007.5,1122,7,24,24-Jul-1122 12:00:00,282.722595214844,281.806518554688,283.638702392578
410038.5,1122,8,24,24-Aug-1122 12:00:00,281.120025634766,278.745971679688,283.494079589844
410069,1122,9,24,24-Sep-1122 00:00:00,281.080230712891,278.843811035156,283.316680908203
410099.5,1122,10,24,24-Oct-1122 12:00:00,282.116882324219,280.952758789062,283.281005859375
410130,1122,11,24,24-Nov-1122 00:00:00,283.120941162109,282.831512451172,283.410369873047
410160.5,1122,12,24,24-Dec-1122 12:00:00,283.757446289062,284.073608398438,283.441253662109
410191.5,1123,1,24,24-Jan-1123 12:00:00,284.216888427734,284.896087646484,283.537658691406
410221,1123,2,23,23-Feb-1123 00:00:00,284.598724365234,285.551086425781,283.646392822266
410250.5,1123,3,24,24-Mar-1123 12:00:00,284.939422607422,286.192352294922,283.686462402344
410281,1123,4,24,24-Apr-1123 00:00:00,285.178741455078,286.725738525391,283.631774902344
410311.5,1123,5,24,24-May-1123 12:00:00,285.121826171875,286.628875732422,283.614776611328
410342,1123,6,24,24-Jun-1123 00:00:00,284.388916015625,285.114318847656,283.663513183594
410372.5,1123,7,24,24-Jul-1123 12:00:00,282.748992919922,281.832916259766,283.665100097656
410403.5,1123,8,24,24-Aug-1123 12:00:00,281.146179199219,278.772125244141,283.520233154297
410434,1123,9,24,24-Sep-1123 00:00:00,281.106048583984,278.869598388672,283.342498779297
410464.5,1123,10,24,24-Oct-1123 12:00:00,282.142303466797,280.978210449219,283.306427001953
410495,1123,11,24,24-Nov-1123 00:00:00,283.145935058594,282.856506347656,283.435394287109
410525.5,1123,12,24,24-Dec-1123 12:00:00,283.781982421875,284.098175048828,283.4658203125
410556.5,1124,1,24,24-Jan-1124 12:00:00,284.240966796875,284.920196533203,283.561737060547
410586.5,1124,2,23,23-Feb-1124 12:00:00,284.622344970703,285.57470703125,283.670013427734
410616.5,1124,3,24,24-Mar-1124 12:00:00,284.962554931641,286.215515136719,283.709625244141
410647,1124,4,24,24-Apr-1124 00:00:00,285.201446533203,286.748443603516,283.654479980469
410677.5,1124,5,24,24-May-1124 12:00:00,285.144104003906,286.651184082031,283.637054443359
410708,1124,6,24,24-Jun-1124 00:00:00,284.410827636719,285.13623046875,283.685424804688
410738.5,1124,7,24,24-Jul-1124 12:00:00,282.770599365234,281.8544921875,283.686676025391
410769.5,1124,8,24,24-Aug-1124 12:00:00,281.16748046875,278.793426513672,283.541534423828
410800,1124,9,24,24-Sep-1124 00:00:00,281.127105712891,278.890686035156,283.363555908203
410830.5,1124,10,24,24-Oct-1124 12:00:00,282.163177490234,280.999084472656,283.327301025391
410861,1124,11,24,24-Nov-1124 00:00:00,283.166687011719,282.877258300781,283.456115722656
410891.5,1124,12,24,24-Dec-1124 12:00:00,283.802673339844,284.118835449219,283.486480712891
410922.5,1125,1,24,24-Jan-1125 12:00:00,284.261627197266,284.940826416016,283.582397460938
410952,1125,2,23,23-Feb-1125 00:00:00,284.64306640625,285.595397949219,283.690734863281
410981.5,1125,3,24,24-Mar-1125 12:00:00,284.9833984375,286.236328125,283.730438232422
411012,1125,4,24,24-Apr-1125 00:00:00,285.222473144531,286.769470214844,283.675476074219
411042.5,1125,5,24,24-May-1125 12:00:00,285.165405273438,286.672454833984,283.658355712891
411073,1125,6,24,24-Jun-1125 00:00:00,284.432464599609,285.157867431641,283.707061767578
411103.5,1125,7,24,24-Jul-1125 12:00:00,282.792572021484,281.876495361328,283.708679199219
411134.5,1125,8,24,24-Aug-1125 12:00:00,281.189880371094,278.815826416016,283.563934326172
411165,1125,9,24,24-Sep-1125 00:00:00,281.14990234375,278.913482666016,283.386352539062
411195.5,1125,10,24,24-Oct-1125 12:00:00,282.186401367188,281.022277832031,283.350524902344
411226,1125,11,24,24-Nov-1125 00:00:00,283.190246582031,282.900817871094,283.479675292969
411256.5,1125,12,24,24-Dec-1125 12:00:00,283.826538085938,284.142730712891,283.510345458984
411287.5,1126,1,24,24-Jan-1126 12:00:00,284.285736083984,284.964965820312,283.606536865234
411317,1126,2,23,23-Feb-1126 00:00:00,284.667327880859,285.619689941406,283.714996337891
411346.5,1126,3,24,24-Mar-1126 12:00:00,285.007720947266,286.260681152344,283.754791259766
411377,1126,4,24,24-Apr-1126 00:00:00,285.246734619141,286.793731689453,283.699737548828
411407.5,1126,5,24,24-May-1126 12:00:00,285.189453125,286.696502685547,283.682403564453
411438,1126,6,24,24-Jun-1126 00:00:00,284.456146240234,285.181549072266,283.730743408203
411468.5,1126,7,24,24-Jul-1126 12:00:00,282.815826416016,281.899749755859,283.73193359375
411499.5,1126,8,24,24-Aug-1126 12:00:00,281.212585449219,278.838531494141,283.586639404297
411530,1126,9,24,24-Sep-1126 00:00:00,281.172088623047,278.935638427734,283.408508300781
411560.5,1126,10,24,24-Oct-1126 12:00:00,282.207977294922,281.043853759766,283.372100830078
411591,1126,11,24,24-Nov-1126 00:00:00,283.211303710938,282.921875,283.500732421875
411621.5,1126,12,24,24-Dec-1126 12:00:00,283.847076416016,284.163238525391,283.530883789062
411652.5,1127,1,24,24-Jan-1127 12:00:00,284.305847167969,284.985046386719,283.626617431641
411682,1127,2,23,23-Feb-1127 00:00:00,284.687103271484,285.639434814453,283.734771728516
411711.5,1127,3,24,24-Mar-1127 12:00:00,285.027282714844,286.280242919922,283.774353027344
411742,1127,4,24,24-Apr-1127 00:00:00,285.266296386719,286.813262939453,283.719299316406
411772.5,1127,5,24,24-May-1127 12:00:00,285.209167480469,286.716217041016,283.702117919922
411803,1127,6,24,24-Jun-1127 00:00:00,284.476196289062,285.201599121094,283.750793457031
411833.5,1127,7,24,24-Jul-1127 12:00:00,282.836364746094,281.920288085938,283.752471923828
411864.5,1127,8,24,24-Aug-1127 12:00:00,281.233734130859,278.859710693359,283.607788085938
411895,1127,9,24,24-Sep-1127 00:00:00,281.193908691406,278.957489013672,283.430358886719
411925.5,1127,10,24,24-Oct-1127 12:00:00,282.230529785156,281.06640625,283.394653320312
411956,1127,11,24,24-Nov-1127 00:00:00,283.234558105469,282.945129394531,283.523986816406
411986.5,1127,12,24,24-Dec-1127 12:00:00,283.871002197266,284.187164306641,283.554809570312
412017.5,1128,1,24,24-Jan-1128 12:00:00,284.330352783203,285.009582519531,283.651153564453
412047.5,1128,2,23,23-Feb-1128 12:00:00,284.712127685547,285.664459228516,283.759765625
412077.5,1128,3,24,24-Mar-1128 12:00:00,285.052642822266,286.305572509766,283.799713134766
412108,1128,4,24,24-Apr-1128 00:00:00,285.291778564453,286.838775634766,283.744781494141
412138.5,1128,5,24,24-May-1128 12:00:00,285.234588623047,286.741638183594,283.7275390625
412169,1128,6,24,24-Jun-1128 00:00:00,284.501342773438,285.226745605469,283.775939941406
412199.5,1128,7,24,24-Jul-1128 12:00:00,282.861022949219,281.944915771484,283.777099609375
412230.5,1128,8,24,24-Aug-1128 12:00:00,281.257751464844,278.883697509766,283.631805419922
412261,1128,9,24,24-Sep-1128 00:00:00,281.217193603516,278.980773925781,283.453643798828
412291.5,1128,10,24,24-Oct-1128 12:00:00,282.253051757812,281.088928222656,283.417144775391
412322,1128,11,24,24-Nov-1128 00:00:00,283.256256103516,282.966827392578,283.545684814453
412352.5,1128,12,24,24-Dec-1128 12:00:00,283.891906738281,284.208099365234,283.575744628906
412383.5,1129,1,24,24-Jan-1129 12:00:00,284.350555419922,285.02978515625,283.671325683594
412413,1129,2,23,23-Feb-1129 00:00:00,284.731689453125,285.684020996094,283.779357910156
412442.5,1129,3,24,24-Mar-1129 12:00:00,285.071746826172,286.324676513672,283.818786621094
412473,1129,4,24,24-Apr-1129 00:00:00,285.310577392578,286.857574462891,283.763580322266
412503.5,1129,5,24,24-May-1129 12:00:00,285.253295898438,286.760345458984,283.746246337891
412534,1129,6,24,24-Jun-1129 00:00:00,284.520202636719,285.24560546875,283.794799804688
412564.5,1129,7,24,24-Jul-1129 12:00:00,282.880249023438,281.964141845703,283.796356201172
412595.5,1129,8,24,24-Aug-1129 12:00:00,281.277496337891,278.903442382812,283.651550292969
412626,1129,9,24,24-Sep-1129 00:00:00,281.237579345703,279.001129150391,283.473999023438
412656.5,1129,10,24,24-Oct-1129 12:00:00,282.274108886719,281.109985351562,283.438232421875
412687,1129,11,24,24-Nov-1129 00:00:00,283.278045654297,282.988616943359,283.567474365234
412717.5,1129,12,24,24-Dec-1129 12:00:00,283.914459228516,284.230651855469,283.598266601562
412748.5,1130,1,24,24-Jan-1130 12:00:00,284.373809814453,285.053039550781,283.694610595703
412778,1130,2,23,23-Feb-1130 00:00:00,284.755584716797,285.707916259766,283.803253173828
412807.5,1130,3,24,24-Mar-1130 12:00:00,285.096160888672,286.349090576172,283.843200683594
412838,1130,4,24,24-Apr-1130 00:00:00,285.335357666016,286.882354736328,283.788360595703
412868.5,1130,5,24,24-May-1130 12:00:00,285.278289794922,286.785339355469,283.771240234375
412899,1130,6,24,24-Jun-1130 00:00:00,284.545166015625,285.270568847656,283.819763183594
412929.5,1130,7,24,24-Jul-1130 12:00:00,282.905029296875,281.988922119141,283.821105957031
412960.5,1130,8,24,24-Aug-1130 12:00:00,281.301940917969,278.927886962891,283.675994873047
412991,1130,9,24,24-Sep-1130 00:00:00,281.261535644531,279.025115966797,283.497985839844
413021.5,1130,10,24,24-Oct-1130 12:00:00,282.297546386719,281.133422851562,283.461669921875
413052,1130,11,24,24-Nov-1130 00:00:00,283.300903320312,283.011474609375,283.59033203125
413082.5,1130,12,24,24-Dec-1130 12:00:00,283.936676025391,284.252868652344,283.620483398438
413113.5,1131,1,24,24-Jan-1131 12:00:00,284.395416259766,285.074615478516,283.716186523438
413143,1131,2,23,23-Feb-1131 00:00:00,284.776580810547,285.728912353516,283.824249267578
413172.5,1131,3,24,24-Mar-1131 12:00:00,285.116607666016,286.369567871094,283.863677978516
413203,1131,4,24,24-Apr-1131 00:00:00,285.355377197266,286.902374267578,283.808380126953
413233.5,1131,5,24,24-May-1131 12:00:00,285.297943115234,286.804992675781,283.790893554688
413264,1131,6,24,24-Jun-1131 00:00:00,284.564666748047,285.290069580078,283.839263916016
413294.5,1131,7,24,24-Jul-1131 12:00:00,282.924407958984,282.008331298828,283.840515136719
413325.5,1131,8,24,24-Aug-1131 12:00:00,281.321350097656,278.947296142578,283.695404052734
413356,1131,9,24,24-Sep-1131 00:00:00,281.281036376953,279.044616699219,283.517486572266
413386.5,1131,10,24,24-Oct-1131 12:00:00,282.317199707031,281.153076171875,283.481292724609
413417,1131,11,24,24-Nov-1131 00:00:00,283.320739746094,283.031280517578,283.610168457031
413447.5,1131,12,24,24-Dec-1131 12:00:00,283.956695556641,284.272888183594,283.640533447266
413478.5,1132,1,24,24-Jan-1132 12:00:00,284.415618896484,285.094848632812,283.736419677734
413508.5,1132,2,23,23-Feb-1132 12:00:00,284.796966552734,285.749298095703,283.844635009766
413538.5,1132,3,24,24-Mar-1132 12:00:00,285.137115478516,286.390075683594,283.884185791016
413569,1132,4,24,24-Apr-1132 00:00:00,285.375946044922,286.922943115234,283.828948974609
